Age,M,F
   0- 4,10319427,9881935
   5- 9,10389638,9959019
  10-14,10579862,10097332
  15-19,11303666,10736677
  20-24,11014176,10571823
  25-29,10635591,10466258
  30-34,9996500,9965599
  35-39,10042022,10137620
  40-44,10393977,10496987
  45-49,11209085,11499506
  50-54,10933274,11364851
  55-59,9523648,10141157
  60-64,8077500,8740424
  65-69,5852547,6582716
  70-74,4243972,5034194
  75-79,3182388,4135407
  80-84,2294374,3448953
  85-89,1273867,2346592
  90-94,424387,1023979
  95-99,82263,288981
100+,9162,44202
